TE_genic_orientation_loc,n_peaks,mean,median
Antisense,81062,-0.010192155036875658,-0.122950235826992
Intergenic,135884,0.39871959261152795,0.28727068058370697
Sense,65366,-0.02117379862640748,-0.14521874607206148
