TE_req_integrative,n_peaks,mean,median
Old FL,65366,0.18812274268490314,0.033509670074122797
Old Trnc,187269,0.1747582156066742,0.051032223749492
Yng FL,24816,0.23771322474074835,0.02876711136159035
Yng Intact,101,0.9871833860960746,1.01497890406203
Yng Trnc,4760,0.1989381819038105,0.0956271940346443
